group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,1048576,,,1094990.0,ns,13
weight,reference,1048576,,,2375469.0,ns,26
weight,reference,1048576,,,2993966.0,ns,39
weight,reference,1048576,,,7870242.0,ns,52
weight,reference,1048576,,,6659732.0,ns,65
weight,reference,1048576,,,6247889.0,ns,78
weight,reference,1048576,,,7871309.0,ns,91
weight,reference,1048576,,,7798152.0,ns,104
weight,reference,1048576,,,8592297.0,ns,117
weight,reference,1048576,,,9457830.0,ns,130
weight,reference,1048576,,,10564973.0,ns,143
weight,reference,1048576,,,11164590.0,ns,156
weight,reference,1048576,,,12446386.0,ns,169
weight,reference,1048576,,,13336602.0,ns,182
weight,reference,1048576,,,13936187.0,ns,195
weight,reference,1048576,,,14941925.0,ns,208
weight,reference,1048576,,,15770511.0,ns,221
weight,reference,1048576,,,16725277.0,ns,234
weight,reference,1048576,,,17641757.0,ns,247
weight,reference,1048576,,,18893981.0,ns,260
weight,reference,1048576,,,19892266.0,ns,273
weight,reference,1048576,,,21848719.0,ns,286
weight,reference,1048576,,,21568901.0,ns,299
weight,reference,1048576,,,22430682.0,ns,312
weight,reference,1048576,,,24433164.0,ns,325
weight,reference,1048576,,,24277021.0,ns,338
weight,reference,1048576,,,25265736.0,ns,351
weight,reference,1048576,,,26357161.0,ns,364
weight,reference,1048576,,,27198565.0,ns,377
weight,reference,1048576,,,28189765.0,ns,390
weight,reference,1048576,,,29242836.0,ns,403
weight,reference,1048576,,,30238467.0,ns,416
weight,reference,1048576,,,30792702.0,ns,429
weight,reference,1048576,,,31903564.0,ns,442
weight,reference,1048576,,,33704530.0,ns,455
weight,reference,1048576,,,33486731.0,ns,468
weight,reference,1048576,,,36025063.0,ns,481
weight,reference,1048576,,,36114728.0,ns,494
weight,reference,1048576,,,40372269.0,ns,507
weight,reference,1048576,,,37606033.0,ns,520
weight,reference,1048576,,,38627793.0,ns,533
weight,reference,1048576,,,39616634.0,ns,546
weight,reference,1048576,,,41462597.0,ns,559
weight,reference,1048576,,,41391620.0,ns,572
weight,reference,1048576,,,42302312.0,ns,585
weight,reference,1048576,,,43226793.0,ns,598
weight,reference,1048576,,,44840676.0,ns,611
weight,reference,1048576,,,45441471.0,ns,624
weight,reference,1048576,,,46244571.0,ns,637
weight,reference,1048576,,,47179315.0,ns,650
weight,reference,1048576,,,49772549.0,ns,663
weight,reference,1048576,,,49489155.0,ns,676
weight,reference,1048576,,,55118221.0,ns,689
weight,reference,1048576,,,52258801.0,ns,702
weight,reference,1048576,,,72075509.0,ns,715
weight,reference,1048576,,,73252553.0,ns,728
weight,reference,1048576,,,67384875.0,ns,741
weight,reference,1048576,,,61435470.0,ns,754
weight,reference,1048576,,,65017479.0,ns,767
weight,reference,1048576,,,68306187.0,ns,780
weight,reference,1048576,,,80169275.0,ns,793
weight,reference,1048576,,,63296306.0,ns,806
weight,reference,1048576,,,67874689.0,ns,819
weight,reference,1048576,,,69000851.0,ns,832
weight,reference,1048576,,,80547480.0,ns,845
weight,reference,1048576,,,74346589.0,ns,858
weight,reference,1048576,,,71874809.0,ns,871
weight,reference,1048576,,,73993240.0,ns,884
weight,reference,1048576,,,90584592.0,ns,897
weight,reference,1048576,,,75191015.0,ns,910
weight,reference,1048576,,,100520169.0,ns,923
weight,reference,1048576,,,93891496.0,ns,936
weight,reference,1048576,,,83309078.0,ns,949
weight,reference,1048576,,,85453775.0,ns,962
weight,reference,1048576,,,115420607.0,ns,975
weight,reference,1048576,,,98124741.0,ns,988
weight,reference,1048576,,,96873032.0,ns,1001
weight,reference,1048576,,,74761989.0,ns,1014
weight,reference,1048576,,,78196156.0,ns,1027
weight,reference,1048576,,,80386036.0,ns,1040
weight,reference,1048576,,,78373958.0,ns,1053
weight,reference,1048576,,,90848629.0,ns,1066
weight,reference,1048576,,,97115419.0,ns,1079
weight,reference,1048576,,,90021761.0,ns,1092
weight,reference,1048576,,,91902840.0,ns,1105
weight,reference,1048576,,,92435484.0,ns,1118
weight,reference,1048576,,,100339983.0,ns,1131
weight,reference,1048576,,,95047506.0,ns,1144
weight,reference,1048576,,,105036250.0,ns,1157
weight,reference,1048576,,,96160401.0,ns,1170
weight,reference,1048576,,,92226267.0,ns,1183
weight,reference,1048576,,,96122640.0,ns,1196
weight,reference,1048576,,,100042586.0,ns,1209
weight,reference,1048576,,,101621303.0,ns,1222
weight,reference,1048576,,,97202868.0,ns,1235
weight,reference,1048576,,,95279316.0,ns,1248
weight,reference,1048576,,,100378052.0,ns,1261
weight,reference,1048576,,,100821952.0,ns,1274
weight,reference,1048576,,,99092426.0,ns,1287
weight,reference,1048576,,,98174781.0,ns,1300
