group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,2097152,,,1539858.0,ns,4
distance,reference,2097152,,,2987651.0,ns,8
distance,reference,2097152,,,3863351.0,ns,12
distance,reference,2097152,,,4959420.0,ns,16
distance,reference,2097152,,,6429670.0,ns,20
distance,reference,2097152,,,7540003.0,ns,24
distance,reference,2097152,,,10481022.0,ns,28
distance,reference,2097152,,,10398511.0,ns,32
distance,reference,2097152,,,13136807.0,ns,36
distance,reference,2097152,,,13441823.0,ns,40
distance,reference,2097152,,,13714773.0,ns,44
distance,reference,2097152,,,17010542.0,ns,48
distance,reference,2097152,,,19425610.0,ns,52
distance,reference,2097152,,,18048686.0,ns,56
distance,reference,2097152,,,19211567.0,ns,60
distance,reference,2097152,,,20357115.0,ns,64
distance,reference,2097152,,,21941445.0,ns,68
distance,reference,2097152,,,23302011.0,ns,72
distance,reference,2097152,,,24391659.0,ns,76
distance,reference,2097152,,,25915779.0,ns,80
distance,reference,2097152,,,24841168.0,ns,84
distance,reference,2097152,,,25473363.0,ns,88
distance,reference,2097152,,,27214544.0,ns,92
distance,reference,2097152,,,27910023.0,ns,96
distance,reference,2097152,,,30300013.0,ns,100
distance,reference,2097152,,,30173045.0,ns,104
distance,reference,2097152,,,31896590.0,ns,108
distance,reference,2097152,,,32965999.0,ns,112
distance,reference,2097152,,,33948787.0,ns,116
distance,reference,2097152,,,35563086.0,ns,120
distance,reference,2097152,,,39117335.0,ns,124
distance,reference,2097152,,,38130383.0,ns,128
distance,reference,2097152,,,39567576.0,ns,132
distance,reference,2097152,,,41898481.0,ns,136
distance,reference,2097152,,,41065639.0,ns,140
distance,reference,2097152,,,42322937.0,ns,144
distance,reference,2097152,,,43176557.0,ns,148
distance,reference,2097152,,,44401558.0,ns,152
distance,reference,2097152,,,45921084.0,ns,156
distance,reference,2097152,,,46931177.0,ns,160
distance,reference,2097152,,,48000245.0,ns,164
distance,reference,2097152,,,49467424.0,ns,168
distance,reference,2097152,,,54511351.0,ns,172
distance,reference,2097152,,,52457839.0,ns,176
distance,reference,2097152,,,53595130.0,ns,180
distance,reference,2097152,,,57156185.0,ns,184
distance,reference,2097152,,,56335901.0,ns,188
distance,reference,2097152,,,57957115.0,ns,192
distance,reference,2097152,,,58441327.0,ns,196
distance,reference,2097152,,,59067332.0,ns,200
distance,reference,2097152,,,63636445.0,ns,204
distance,reference,2097152,,,61844927.0,ns,208
distance,reference,2097152,,,61280663.0,ns,212
distance,reference,2097152,,,63731280.0,ns,216
distance,reference,2097152,,,65524961.0,ns,220
distance,reference,2097152,,,70770606.0,ns,224
distance,reference,2097152,,,68212205.0,ns,228
distance,reference,2097152,,,68206435.0,ns,232
distance,reference,2097152,,,72683034.0,ns,236
distance,reference,2097152,,,70382100.0,ns,240
distance,reference,2097152,,,72469689.0,ns,244
distance,reference,2097152,,,72444102.0,ns,248
distance,reference,2097152,,,74828893.0,ns,252
distance,reference,2097152,,,83412488.0,ns,256
distance,reference,2097152,,,87698433.0,ns,260
distance,reference,2097152,,,89637646.0,ns,264
distance,reference,2097152,,,86260622.0,ns,268
distance,reference,2097152,,,85857475.0,ns,272
distance,reference,2097152,,,90491393.0,ns,276
distance,reference,2097152,,,91015127.0,ns,280
distance,reference,2097152,,,94273070.0,ns,284
distance,reference,2097152,,,92176341.0,ns,288
distance,reference,2097152,,,96434235.0,ns,292
distance,reference,2097152,,,98738990.0,ns,296
distance,reference,2097152,,,94570164.0,ns,300
distance,reference,2097152,,,98834975.0,ns,304
distance,reference,2097152,,,101373202.0,ns,308
distance,reference,2097152,,,103493124.0,ns,312
distance,reference,2097152,,,103113805.0,ns,316
distance,reference,2097152,,,103117839.0,ns,320
distance,reference,2097152,,,111348150.0,ns,324
distance,reference,2097152,,,107515048.0,ns,328
distance,reference,2097152,,,111906641.0,ns,332
distance,reference,2097152,,,109478442.0,ns,336
distance,reference,2097152,,,111404639.0,ns,340
distance,reference,2097152,,,135989225.0,ns,344
distance,reference,2097152,,,140849871.0,ns,348
distance,reference,2097152,,,127015069.0,ns,352
distance,reference,2097152,,,178186469.0,ns,356
distance,reference,2097152,,,136115468.0,ns,360
distance,reference,2097152,,,119436355.0,ns,364
distance,reference,2097152,,,130407115.0,ns,368
distance,reference,2097152,,,126683418.0,ns,372
distance,reference,2097152,,,122073505.0,ns,376
distance,reference,2097152,,,132058918.0,ns,380
distance,reference,2097152,,,133741623.0,ns,384
distance,reference,2097152,,,133521277.0,ns,388
distance,reference,2097152,,,127387785.0,ns,392
distance,reference,2097152,,,125053962.0,ns,396
distance,reference,2097152,,,128003146.0,ns,400
