group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,local,16384,,,1090378.0,ns,2588
distance,local,16384,,,2010034.0,ns,5176
distance,local,16384,,,3055765.0,ns,7764
distance,local,16384,,,6570067.0,ns,10352
distance,local,16384,,,5363575.0,ns,12940
distance,local,16384,,,6196361.0,ns,15528
distance,local,16384,,,7016679.0,ns,18116
distance,local,16384,,,7361455.0,ns,20704
distance,local,16384,,,9009925.0,ns,23292
distance,local,16384,,,10245009.0,ns,25880
distance,local,16384,,,10252328.0,ns,28468
distance,local,16384,,,11528546.0,ns,31056
distance,local,16384,,,12751959.0,ns,33644
distance,local,16384,,,14905598.0,ns,36232
distance,local,16384,,,14995600.0,ns,38820
distance,local,16384,,,14526849.0,ns,41408
distance,local,16384,,,16188738.0,ns,43996
distance,local,16384,,,17533428.0,ns,46584
distance,local,16384,,,18068321.0,ns,49172
distance,local,16384,,,17834067.0,ns,51760
distance,local,16384,,,21130343.0,ns,54348
distance,local,16384,,,21561506.0,ns,56936
distance,local,16384,,,20782859.0,ns,59524
distance,local,16384,,,23953730.0,ns,62112
distance,local,16384,,,23896778.0,ns,64700
distance,local,16384,,,26550554.0,ns,67288
distance,local,16384,,,28039916.0,ns,69876
distance,local,16384,,,29164132.0,ns,72464
distance,local,16384,,,27901477.0,ns,75052
distance,local,16384,,,29269241.0,ns,77640
distance,local,16384,,,31358462.0,ns,80228
distance,local,16384,,,31973179.0,ns,82816
distance,local,16384,,,32580809.0,ns,85404
distance,local,16384,,,34410844.0,ns,87992
distance,local,16384,,,35054816.0,ns,90580
distance,local,16384,,,36801605.0,ns,93168
distance,local,16384,,,36048977.0,ns,95756
distance,local,16384,,,37577555.0,ns,98344
distance,local,16384,,,38364163.0,ns,100932
distance,local,16384,,,38258671.0,ns,103520
distance,local,16384,,,42085174.0,ns,106108
distance,local,16384,,,43387550.0,ns,108696
distance,local,16384,,,43411024.0,ns,111284
distance,local,16384,,,42853972.0,ns,113872
distance,local,16384,,,44686448.0,ns,116460
distance,local,16384,,,44186303.0,ns,119048
distance,local,16384,,,48016099.0,ns,121636
distance,local,16384,,,46896546.0,ns,124224
distance,local,16384,,,47744291.0,ns,126812
distance,local,16384,,,52620471.0,ns,129400
distance,local,16384,,,50327386.0,ns,131988
distance,local,16384,,,51985163.0,ns,134576
distance,local,16384,,,51524867.0,ns,137164
distance,local,16384,,,53632215.0,ns,139752
distance,local,16384,,,54145398.0,ns,142340
distance,local,16384,,,55256393.0,ns,144928
distance,local,16384,,,57438017.0,ns,147516
distance,local,16384,,,57839675.0,ns,150104
distance,local,16384,,,56928746.0,ns,152692
distance,local,16384,,,58663035.0,ns,155280
distance,local,16384,,,62380197.0,ns,157868
distance,local,16384,,,61311600.0,ns,160456
distance,local,16384,,,62342803.0,ns,163044
distance,local,16384,,,62313223.0,ns,165632
distance,local,16384,,,63607188.0,ns,168220
distance,local,16384,,,65706334.0,ns,170808
distance,local,16384,,,66016997.0,ns,173396
distance,local,16384,,,66407224.0,ns,175984
distance,local,16384,,,69287396.0,ns,178572
distance,local,16384,,,69527909.0,ns,181160
distance,local,16384,,,69914331.0,ns,183748
distance,local,16384,,,70062484.0,ns,186336
distance,local,16384,,,70676230.0,ns,188924
distance,local,16384,,,70731577.0,ns,191512
distance,local,16384,,,70299276.0,ns,194100
distance,local,16384,,,77940250.0,ns,196688
distance,local,16384,,,75645186.0,ns,199276
distance,local,16384,,,74150942.0,ns,201864
distance,local,16384,,,79372404.0,ns,204452
distance,local,16384,,,79308858.0,ns,207040
distance,local,16384,,,77782218.0,ns,209628
distance,local,16384,,,86712558.0,ns,212216
distance,local,16384,,,79983212.0,ns,214804
distance,local,16384,,,81021157.0,ns,217392
distance,local,16384,,,81628441.0,ns,219980
distance,local,16384,,,82987333.0,ns,222568
distance,local,16384,,,82534088.0,ns,225156
distance,local,16384,,,87063885.0,ns,227744
distance,local,16384,,,87259395.0,ns,230332
distance,local,16384,,,82908705.0,ns,232920
distance,local,16384,,,86606287.0,ns,235508
distance,local,16384,,,89475467.0,ns,238096
distance,local,16384,,,88579282.0,ns,240684
distance,local,16384,,,100869393.0,ns,243272
distance,local,16384,,,104394456.0,ns,245860
distance,local,16384,,,95557014.0,ns,248448
distance,local,16384,,,102434987.0,ns,251036
distance,local,16384,,,105161180.0,ns,253624
distance,local,16384,,,107935955.0,ns,256212
distance,local,16384,,,100181454.0,ns,258800
