group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,4194304,,,1564572.0,ns,2
distance,reference,4194304,,,3096812.0,ns,4
distance,reference,4194304,,,4252514.0,ns,6
distance,reference,4194304,,,5298038.0,ns,8
distance,reference,4194304,,,7154941.0,ns,10
distance,reference,4194304,,,8716384.0,ns,12
distance,reference,4194304,,,10893468.0,ns,14
distance,reference,4194304,,,14141871.0,ns,16
distance,reference,4194304,,,14929303.0,ns,18
distance,reference,4194304,,,14135688.0,ns,20
distance,reference,4194304,,,15043795.0,ns,22
distance,reference,4194304,,,15280542.0,ns,24
distance,reference,4194304,,,16529215.0,ns,26
distance,reference,4194304,,,18473623.0,ns,28
distance,reference,4194304,,,20044421.0,ns,30
distance,reference,4194304,,,21474722.0,ns,32
distance,reference,4194304,,,22051709.0,ns,34
distance,reference,4194304,,,23379213.0,ns,36
distance,reference,4194304,,,24503339.0,ns,38
distance,reference,4194304,,,43892288.0,ns,40
distance,reference,4194304,,,40456131.0,ns,42
distance,reference,4194304,,,41403112.0,ns,44
distance,reference,4194304,,,45590725.0,ns,46
distance,reference,4194304,,,48004643.0,ns,48
distance,reference,4194304,,,48388171.0,ns,50
distance,reference,4194304,,,45933926.0,ns,52
distance,reference,4194304,,,45128483.0,ns,54
distance,reference,4194304,,,47850257.0,ns,56
distance,reference,4194304,,,45728694.0,ns,58
distance,reference,4194304,,,45508418.0,ns,60
distance,reference,4194304,,,48860156.0,ns,62
distance,reference,4194304,,,49655251.0,ns,64
distance,reference,4194304,,,51638638.0,ns,66
distance,reference,4194304,,,53264739.0,ns,68
distance,reference,4194304,,,55960155.0,ns,70
distance,reference,4194304,,,59307634.0,ns,72
distance,reference,4194304,,,57480581.0,ns,74
distance,reference,4194304,,,61166816.0,ns,76
distance,reference,4194304,,,59645257.0,ns,78
distance,reference,4194304,,,54600670.0,ns,80
distance,reference,4194304,,,58035349.0,ns,82
distance,reference,4194304,,,60182725.0,ns,84
distance,reference,4194304,,,58937613.0,ns,86
distance,reference,4194304,,,61077096.0,ns,88
distance,reference,4194304,,,59973883.0,ns,90
distance,reference,4194304,,,61690449.0,ns,92
distance,reference,4194304,,,62785063.0,ns,94
distance,reference,4194304,,,65208996.0,ns,96
distance,reference,4194304,,,64005851.0,ns,98
distance,reference,4194304,,,65068896.0,ns,100
distance,reference,4194304,,,70822109.0,ns,102
distance,reference,4194304,,,74881106.0,ns,104
distance,reference,4194304,,,69381026.0,ns,106
distance,reference,4194304,,,76987819.0,ns,108
distance,reference,4194304,,,77251101.0,ns,110
distance,reference,4194304,,,79438439.0,ns,112
distance,reference,4194304,,,79326336.0,ns,114
distance,reference,4194304,,,72573109.0,ns,116
distance,reference,4194304,,,89117068.0,ns,118
distance,reference,4194304,,,76598578.0,ns,120
distance,reference,4194304,,,79988172.0,ns,122
distance,reference,4194304,,,74226916.0,ns,124
distance,reference,4194304,,,83134496.0,ns,126
distance,reference,4194304,,,76590121.0,ns,128
distance,reference,4194304,,,86533583.0,ns,130
distance,reference,4194304,,,81111860.0,ns,132
distance,reference,4194304,,,92218716.0,ns,134
distance,reference,4194304,,,109155659.0,ns,136
distance,reference,4194304,,,106638059.0,ns,138
distance,reference,4194304,,,109178839.0,ns,140
distance,reference,4194304,,,110126334.0,ns,142
distance,reference,4194304,,,105317073.0,ns,144
distance,reference,4194304,,,102260894.0,ns,146
distance,reference,4194304,,,95628755.0,ns,148
distance,reference,4194304,,,133082630.0,ns,150
distance,reference,4194304,,,128611546.0,ns,152
distance,reference,4194304,,,120192361.0,ns,154
distance,reference,4194304,,,124771162.0,ns,156
distance,reference,4194304,,,142850789.0,ns,158
distance,reference,4194304,,,128908882.0,ns,160
distance,reference,4194304,,,130546804.0,ns,162
distance,reference,4194304,,,169800993.0,ns,164
distance,reference,4194304,,,163057424.0,ns,166
distance,reference,4194304,,,139330001.0,ns,168
distance,reference,4194304,,,122611265.0,ns,170
distance,reference,4194304,,,134484354.0,ns,172
distance,reference,4194304,,,156219975.0,ns,174
distance,reference,4194304,,,147882533.0,ns,176
distance,reference,4194304,,,150687839.0,ns,178
distance,reference,4194304,,,140816704.0,ns,180
distance,reference,4194304,,,196831902.0,ns,182
distance,reference,4194304,,,186133235.0,ns,184
distance,reference,4194304,,,150202102.0,ns,186
distance,reference,4194304,,,191384653.0,ns,188
distance,reference,4194304,,,148424696.0,ns,190
distance,reference,4194304,,,142591547.0,ns,192
distance,reference,4194304,,,138454243.0,ns,194
distance,reference,4194304,,,142711658.0,ns,196
distance,reference,4194304,,,146699113.0,ns,198
distance,reference,4194304,,,132136106.0,ns,200
