group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,65536,,,1060730.0,ns,224
weight,reference,65536,,,2364460.0,ns,448
weight,reference,65536,,,3267957.0,ns,672
weight,reference,65536,,,8179050.0,ns,896
weight,reference,65536,,,6855698.0,ns,1120
weight,reference,65536,,,6697841.0,ns,1344
weight,reference,65536,,,7933454.0,ns,1568
weight,reference,65536,,,8832447.0,ns,1792
weight,reference,65536,,,10448810.0,ns,2016
weight,reference,65536,,,10284257.0,ns,2240
weight,reference,65536,,,12185905.0,ns,2464
weight,reference,65536,,,12764984.0,ns,2688
weight,reference,65536,,,13602923.0,ns,2912
weight,reference,65536,,,14472518.0,ns,3136
weight,reference,65536,,,15764081.0,ns,3360
weight,reference,65536,,,16294855.0,ns,3584
weight,reference,65536,,,17039041.0,ns,3808
weight,reference,65536,,,18611712.0,ns,4032
weight,reference,65536,,,19271177.0,ns,4256
weight,reference,65536,,,19723426.0,ns,4480
weight,reference,65536,,,21361533.0,ns,4704
weight,reference,65536,,,21535465.0,ns,4928
weight,reference,65536,,,23199392.0,ns,5152
weight,reference,65536,,,23762557.0,ns,5376
weight,reference,65536,,,24558148.0,ns,5600
weight,reference,65536,,,26184421.0,ns,5824
weight,reference,65536,,,26781481.0,ns,6048
weight,reference,65536,,,27739749.0,ns,6272
weight,reference,65536,,,28267245.0,ns,6496
weight,reference,65536,,,29731878.0,ns,6720
weight,reference,65536,,,31585133.0,ns,6944
weight,reference,65536,,,32736545.0,ns,7168
weight,reference,65536,,,32722390.0,ns,7392
weight,reference,65536,,,33596852.0,ns,7616
weight,reference,65536,,,34763987.0,ns,7840
weight,reference,65536,,,35318389.0,ns,8064
weight,reference,65536,,,37688305.0,ns,8288
weight,reference,65536,,,35016643.0,ns,8512
weight,reference,65536,,,35778982.0,ns,8736
weight,reference,65536,,,36191729.0,ns,8960
weight,reference,65536,,,36953227.0,ns,9184
weight,reference,65536,,,40248038.0,ns,9408
weight,reference,65536,,,41809628.0,ns,9632
weight,reference,65536,,,43309370.0,ns,9856
weight,reference,65536,,,44766067.0,ns,10080
weight,reference,65536,,,47734929.0,ns,10304
weight,reference,65536,,,50554668.0,ns,10528
weight,reference,65536,,,51749583.0,ns,10752
weight,reference,65536,,,51724800.0,ns,10976
weight,reference,65536,,,51848554.0,ns,11200
weight,reference,65536,,,54619015.0,ns,11424
weight,reference,65536,,,56516128.0,ns,11648
weight,reference,65536,,,54747183.0,ns,11872
weight,reference,65536,,,53730033.0,ns,12096
weight,reference,65536,,,55757508.0,ns,12320
weight,reference,65536,,,55295395.0,ns,12544
weight,reference,65536,,,56704690.0,ns,12768
weight,reference,65536,,,57428758.0,ns,12992
weight,reference,65536,,,58026937.0,ns,13216
weight,reference,65536,,,58782821.0,ns,13440
weight,reference,65536,,,60588769.0,ns,13664
weight,reference,65536,,,60536047.0,ns,13888
weight,reference,65536,,,63186276.0,ns,14112
weight,reference,65536,,,66636138.0,ns,14336
weight,reference,65536,,,63758781.0,ns,14560
weight,reference,65536,,,65210824.0,ns,14784
weight,reference,65536,,,66826214.0,ns,15008
weight,reference,65536,,,71843787.0,ns,15232
weight,reference,65536,,,73454612.0,ns,15456
weight,reference,65536,,,73761330.0,ns,15680
weight,reference,65536,,,78178356.0,ns,15904
weight,reference,65536,,,67891421.0,ns,16128
weight,reference,65536,,,73059479.0,ns,16352
weight,reference,65536,,,79043984.0,ns,16576
weight,reference,65536,,,81602205.0,ns,16800
weight,reference,65536,,,80608222.0,ns,17024
weight,reference,65536,,,84445314.0,ns,17248
weight,reference,65536,,,84461850.0,ns,17472
weight,reference,65536,,,83587235.0,ns,17696
weight,reference,65536,,,81789536.0,ns,17920
weight,reference,65536,,,81733834.0,ns,18144
weight,reference,65536,,,86014203.0,ns,18368
weight,reference,65536,,,89000723.0,ns,18592
weight,reference,65536,,,83272793.0,ns,18816
weight,reference,65536,,,90952481.0,ns,19040
weight,reference,65536,,,103312904.0,ns,19264
weight,reference,65536,,,94989235.0,ns,19488
weight,reference,65536,,,98981355.0,ns,19712
weight,reference,65536,,,100291451.0,ns,19936
weight,reference,65536,,,96381185.0,ns,20160
weight,reference,65536,,,100163394.0,ns,20384
weight,reference,65536,,,98722890.0,ns,20608
weight,reference,65536,,,106645142.0,ns,20832
weight,reference,65536,,,101343166.0,ns,21056
weight,reference,65536,,,103808893.0,ns,21280
weight,reference,65536,,,109170148.0,ns,21504
weight,reference,65536,,,101390557.0,ns,21728
weight,reference,65536,,,99423504.0,ns,21952
weight,reference,65536,,,98607416.0,ns,22176
weight,reference,65536,,,104528554.0,ns,22400
