group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,131072,,,1232727.0,ns,53
distance,reference,131072,,,2358881.0,ns,106
distance,reference,131072,,,3068474.0,ns,159
distance,reference,131072,,,3995382.0,ns,212
distance,reference,131072,,,5270508.0,ns,265
distance,reference,131072,,,5988031.0,ns,318
distance,reference,131072,,,8152020.0,ns,371
distance,reference,131072,,,9029315.0,ns,424
distance,reference,131072,,,9947517.0,ns,477
distance,reference,131072,,,11244862.0,ns,530
distance,reference,131072,,,11064647.0,ns,583
distance,reference,131072,,,13663337.0,ns,636
distance,reference,131072,,,13303791.0,ns,689
distance,reference,131072,,,13415117.0,ns,742
distance,reference,131072,,,14225439.0,ns,795
distance,reference,131072,,,16735703.0,ns,848
distance,reference,131072,,,20227379.0,ns,901
distance,reference,131072,,,18856119.0,ns,954
distance,reference,131072,,,18748168.0,ns,1007
distance,reference,131072,,,19150014.0,ns,1060
distance,reference,131072,,,20008301.0,ns,1113
distance,reference,131072,,,22585766.0,ns,1166
distance,reference,131072,,,22072032.0,ns,1219
distance,reference,131072,,,22822843.0,ns,1272
distance,reference,131072,,,24385077.0,ns,1325
distance,reference,131072,,,25581618.0,ns,1378
distance,reference,131072,,,27569471.0,ns,1431
distance,reference,131072,,,29067856.0,ns,1484
distance,reference,131072,,,33995679.0,ns,1537
distance,reference,131072,,,29794722.0,ns,1590
distance,reference,131072,,,30034238.0,ns,1643
distance,reference,131072,,,30453913.0,ns,1696
distance,reference,131072,,,35430220.0,ns,1749
distance,reference,131072,,,37228851.0,ns,1802
distance,reference,131072,,,33349613.0,ns,1855
distance,reference,131072,,,36482497.0,ns,1908
distance,reference,131072,,,38920566.0,ns,1961
distance,reference,131072,,,36362619.0,ns,2014
distance,reference,131072,,,37399083.0,ns,2067
distance,reference,131072,,,45623798.0,ns,2120
distance,reference,131072,,,42221762.0,ns,2173
distance,reference,131072,,,40247657.0,ns,2226
distance,reference,131072,,,44916059.0,ns,2279
distance,reference,131072,,,43393271.0,ns,2332
distance,reference,131072,,,46176114.0,ns,2385
distance,reference,131072,,,47522249.0,ns,2438
distance,reference,131072,,,48692465.0,ns,2491
distance,reference,131072,,,47148624.0,ns,2544
distance,reference,131072,,,48465982.0,ns,2597
distance,reference,131072,,,50923254.0,ns,2650
distance,reference,131072,,,49038415.0,ns,2703
distance,reference,131072,,,50012662.0,ns,2756
distance,reference,131072,,,50829864.0,ns,2809
distance,reference,131072,,,51549846.0,ns,2862
distance,reference,131072,,,51999504.0,ns,2915
distance,reference,131072,,,58557711.0,ns,2968
distance,reference,131072,,,54661256.0,ns,3021
distance,reference,131072,,,55152987.0,ns,3074
distance,reference,131072,,,55857691.0,ns,3127
distance,reference,131072,,,61586644.0,ns,3180
distance,reference,131072,,,66000599.0,ns,3233
distance,reference,131072,,,60773258.0,ns,3286
distance,reference,131072,,,63109691.0,ns,3339
distance,reference,131072,,,72863410.0,ns,3392
distance,reference,131072,,,63701544.0,ns,3445
distance,reference,131072,,,81277814.0,ns,3498
distance,reference,131072,,,69513519.0,ns,3551
distance,reference,131072,,,65222661.0,ns,3604
distance,reference,131072,,,71937441.0,ns,3657
distance,reference,131072,,,68102298.0,ns,3710
distance,reference,131072,,,76827861.0,ns,3763
distance,reference,131072,,,72218866.0,ns,3816
distance,reference,131072,,,72979610.0,ns,3869
distance,reference,131072,,,76629814.0,ns,3922
distance,reference,131072,,,77830763.0,ns,3975
distance,reference,131072,,,78433141.0,ns,4028
distance,reference,131072,,,74874155.0,ns,4081
distance,reference,131072,,,78088710.0,ns,4134
distance,reference,131072,,,80479473.0,ns,4187
distance,reference,131072,,,83780517.0,ns,4240
distance,reference,131072,,,82580997.0,ns,4293
distance,reference,131072,,,78535410.0,ns,4346
distance,reference,131072,,,84083427.0,ns,4399
distance,reference,131072,,,88802720.0,ns,4452
distance,reference,131072,,,81695858.0,ns,4505
distance,reference,131072,,,88120651.0,ns,4558
distance,reference,131072,,,89274864.0,ns,4611
distance,reference,131072,,,87386852.0,ns,4664
distance,reference,131072,,,93259682.0,ns,4717
distance,reference,131072,,,89109540.0,ns,4770
distance,reference,131072,,,97711107.0,ns,4823
distance,reference,131072,,,106352975.0,ns,4876
distance,reference,131072,,,97084416.0,ns,4929
distance,reference,131072,,,99745307.0,ns,4982
distance,reference,131072,,,106724394.0,ns,5035
distance,reference,131072,,,103290874.0,ns,5088
distance,reference,131072,,,106220521.0,ns,5141
distance,reference,131072,,,99447377.0,ns,5194
distance,reference,131072,,,95129564.0,ns,5247
distance,reference,131072,,,110330027.0,ns,5300
