group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,262144,,,1149342.0,ns,58
weight,reference,262144,,,2391918.0,ns,116
weight,reference,262144,,,3519799.0,ns,174
weight,reference,262144,,,8575421.0,ns,232
weight,reference,262144,,,6033828.0,ns,290
weight,reference,262144,,,5792812.0,ns,348
weight,reference,262144,,,8871799.0,ns,406
weight,reference,262144,,,11827929.0,ns,464
weight,reference,262144,,,9350761.0,ns,522
weight,reference,262144,,,9975111.0,ns,580
weight,reference,262144,,,10641179.0,ns,638
weight,reference,262144,,,11626773.0,ns,696
weight,reference,262144,,,12500047.0,ns,754
weight,reference,262144,,,13453967.0,ns,812
weight,reference,262144,,,14440174.0,ns,870
weight,reference,262144,,,15338259.0,ns,928
weight,reference,262144,,,16475992.0,ns,986
weight,reference,262144,,,17084057.0,ns,1044
weight,reference,262144,,,18076520.0,ns,1102
weight,reference,262144,,,18990628.0,ns,1160
weight,reference,262144,,,19896362.0,ns,1218
weight,reference,262144,,,21064565.0,ns,1276
weight,reference,262144,,,21993601.0,ns,1334
weight,reference,262144,,,22738786.0,ns,1392
weight,reference,262144,,,23711271.0,ns,1450
weight,reference,262144,,,24660609.0,ns,1508
weight,reference,262144,,,25988448.0,ns,1566
weight,reference,262144,,,26643069.0,ns,1624
weight,reference,262144,,,27561059.0,ns,1682
weight,reference,262144,,,28612482.0,ns,1740
weight,reference,262144,,,29559106.0,ns,1798
weight,reference,262144,,,30362030.0,ns,1856
weight,reference,262144,,,36839539.0,ns,1914
weight,reference,262144,,,33005922.0,ns,1972
weight,reference,262144,,,33634454.0,ns,2030
weight,reference,262144,,,34402153.0,ns,2088
weight,reference,262144,,,35171631.0,ns,2146
weight,reference,262144,,,36062824.0,ns,2204
weight,reference,262144,,,37211010.0,ns,2262
weight,reference,262144,,,37900021.0,ns,2320
weight,reference,262144,,,39275397.0,ns,2378
weight,reference,262144,,,40290301.0,ns,2436
weight,reference,262144,,,42053417.0,ns,2494
weight,reference,262144,,,42876115.0,ns,2552
weight,reference,262144,,,45789989.0,ns,2610
weight,reference,262144,,,62839865.0,ns,2668
weight,reference,262144,,,54310492.0,ns,2726
weight,reference,262144,,,53794296.0,ns,2784
weight,reference,262144,,,56214663.0,ns,2842
weight,reference,262144,,,57019659.0,ns,2900
weight,reference,262144,,,59502877.0,ns,2958
weight,reference,262144,,,64871902.0,ns,3016
weight,reference,262144,,,65200363.0,ns,3074
weight,reference,262144,,,65860242.0,ns,3132
weight,reference,262144,,,57290403.0,ns,3190
weight,reference,262144,,,55912268.0,ns,3248
weight,reference,262144,,,57047377.0,ns,3306
weight,reference,262144,,,57830307.0,ns,3364
weight,reference,262144,,,58726396.0,ns,3422
weight,reference,262144,,,60001563.0,ns,3480
weight,reference,262144,,,62266096.0,ns,3538
weight,reference,262144,,,66966139.0,ns,3596
weight,reference,262144,,,72703055.0,ns,3654
weight,reference,262144,,,68378094.0,ns,3712
weight,reference,262144,,,69716719.0,ns,3770
weight,reference,262144,,,69889359.0,ns,3828
weight,reference,262144,,,71830240.0,ns,3886
weight,reference,262144,,,72746455.0,ns,3944
weight,reference,262144,,,73611605.0,ns,4002
weight,reference,262144,,,82031371.0,ns,4060
weight,reference,262144,,,76029517.0,ns,4118
weight,reference,262144,,,76376628.0,ns,4176
weight,reference,262144,,,78958808.0,ns,4234
weight,reference,262144,,,79459488.0,ns,4292
weight,reference,262144,,,72470983.0,ns,4350
weight,reference,262144,,,80759638.0,ns,4408
weight,reference,262144,,,76273274.0,ns,4466
weight,reference,262144,,,77736525.0,ns,4524
weight,reference,262144,,,76557742.0,ns,4582
weight,reference,262144,,,76296997.0,ns,4640
weight,reference,262144,,,78915652.0,ns,4698
weight,reference,262144,,,92259843.0,ns,4756
weight,reference,262144,,,91289290.0,ns,4814
weight,reference,262144,,,90227526.0,ns,4872
weight,reference,262144,,,101925505.0,ns,4930
weight,reference,262144,,,97091781.0,ns,4988
weight,reference,262144,,,108529874.0,ns,5046
weight,reference,262144,,,97311668.0,ns,5104
weight,reference,262144,,,90543286.0,ns,5162
weight,reference,262144,,,93489249.0,ns,5220
weight,reference,262144,,,90392994.0,ns,5278
weight,reference,262144,,,89784947.0,ns,5336
weight,reference,262144,,,91586245.0,ns,5394
weight,reference,262144,,,91722181.0,ns,5452
weight,reference,262144,,,90533699.0,ns,5510
weight,reference,262144,,,92826430.0,ns,5568
weight,reference,262144,,,97369889.0,ns,5626
weight,reference,262144,,,101929103.0,ns,5684
weight,reference,262144,,,100637377.0,ns,5742
weight,reference,262144,,,113143952.0,ns,5800
