group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
weight,reference,8192,,,1193857.0,ns,1490
weight,reference,8192,,,1975798.0,ns,2980
weight,reference,8192,,,3069226.0,ns,4470
weight,reference,8192,,,7507797.0,ns,5960
weight,reference,8192,,,5809355.0,ns,7450
weight,reference,8192,,,6552564.0,ns,8940
weight,reference,8192,,,6886986.0,ns,10430
weight,reference,8192,,,7687947.0,ns,11920
weight,reference,8192,,,9466403.0,ns,13410
weight,reference,8192,,,9704809.0,ns,14900
weight,reference,8192,,,10783194.0,ns,16390
weight,reference,8192,,,11428494.0,ns,17880
weight,reference,8192,,,12551133.0,ns,19370
weight,reference,8192,,,13544159.0,ns,20860
weight,reference,8192,,,14257884.0,ns,22350
weight,reference,8192,,,15136850.0,ns,23840
weight,reference,8192,,,16742116.0,ns,25330
weight,reference,8192,,,17559075.0,ns,26820
weight,reference,8192,,,18535584.0,ns,28310
weight,reference,8192,,,19213478.0,ns,29800
weight,reference,8192,,,20557341.0,ns,31290
weight,reference,8192,,,21244461.0,ns,32780
weight,reference,8192,,,22312483.0,ns,34270
weight,reference,8192,,,22933220.0,ns,35760
weight,reference,8192,,,23944903.0,ns,37250
weight,reference,8192,,,26062229.0,ns,38740
weight,reference,8192,,,26194385.0,ns,40230
weight,reference,8192,,,27385414.0,ns,41720
weight,reference,8192,,,28031972.0,ns,43210
weight,reference,8192,,,28624688.0,ns,44700
weight,reference,8192,,,30096385.0,ns,46190
weight,reference,8192,,,32121809.0,ns,47680
weight,reference,8192,,,31984502.0,ns,49170
weight,reference,8192,,,32480799.0,ns,50660
weight,reference,8192,,,34291881.0,ns,52150
weight,reference,8192,,,34659482.0,ns,53640
weight,reference,8192,,,35493292.0,ns,55130
weight,reference,8192,,,36564522.0,ns,56620
weight,reference,8192,,,37528081.0,ns,58110
weight,reference,8192,,,39104374.0,ns,59600
weight,reference,8192,,,39652712.0,ns,61090
weight,reference,8192,,,40240098.0,ns,62580
weight,reference,8192,,,41682220.0,ns,64070
weight,reference,8192,,,42029470.0,ns,65560
weight,reference,8192,,,44184853.0,ns,67050
weight,reference,8192,,,41140036.0,ns,68540
weight,reference,8192,,,41678105.0,ns,70030
weight,reference,8192,,,42842378.0,ns,71520
weight,reference,8192,,,43171011.0,ns,73010
weight,reference,8192,,,44219710.0,ns,74500
weight,reference,8192,,,45684365.0,ns,75990
weight,reference,8192,,,52701194.0,ns,77480
weight,reference,8192,,,55031002.0,ns,78970
weight,reference,8192,,,54870640.0,ns,80460
weight,reference,8192,,,55955137.0,ns,81950
weight,reference,8192,,,57067945.0,ns,83440
weight,reference,8192,,,55796522.0,ns,84930
weight,reference,8192,,,56962132.0,ns,86420
weight,reference,8192,,,60304676.0,ns,87910
weight,reference,8192,,,60421673.0,ns,89400
weight,reference,8192,,,62462558.0,ns,90890
weight,reference,8192,,,64481037.0,ns,92380
weight,reference,8192,,,72739317.0,ns,93870
weight,reference,8192,,,66040690.0,ns,95360
weight,reference,8192,,,66213708.0,ns,96850
weight,reference,8192,,,65943350.0,ns,98340
weight,reference,8192,,,83712835.0,ns,99830
weight,reference,8192,,,75992860.0,ns,101320
weight,reference,8192,,,73631592.0,ns,102810
weight,reference,8192,,,71719877.0,ns,104300
weight,reference,8192,,,72822864.0,ns,105790
weight,reference,8192,,,73440384.0,ns,107280
weight,reference,8192,,,85827129.0,ns,108770
weight,reference,8192,,,70794266.0,ns,110260
weight,reference,8192,,,73664021.0,ns,111750
weight,reference,8192,,,70953912.0,ns,113240
weight,reference,8192,,,75589962.0,ns,114730
weight,reference,8192,,,79207743.0,ns,116220
weight,reference,8192,,,81995258.0,ns,117710
weight,reference,8192,,,82644533.0,ns,119200
weight,reference,8192,,,82408740.0,ns,120690
weight,reference,8192,,,72985012.0,ns,122180
weight,reference,8192,,,79474400.0,ns,123670
weight,reference,8192,,,84378692.0,ns,125160
weight,reference,8192,,,85841362.0,ns,126650
weight,reference,8192,,,84678173.0,ns,128140
weight,reference,8192,,,85619992.0,ns,129630
weight,reference,8192,,,87421117.0,ns,131120
weight,reference,8192,,,89676179.0,ns,132610
weight,reference,8192,,,90484351.0,ns,134100
weight,reference,8192,,,91172755.0,ns,135590
weight,reference,8192,,,91733179.0,ns,137080
weight,reference,8192,,,91917397.0,ns,138570
weight,reference,8192,,,91893760.0,ns,140060
weight,reference,8192,,,97442121.0,ns,141550
weight,reference,8192,,,100085930.0,ns,143040
weight,reference,8192,,,98791537.0,ns,144530
weight,reference,8192,,,102376078.0,ns,146020
weight,reference,8192,,,102343002.0,ns,147510
weight,reference,8192,,,103641054.0,ns,149000
