group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,1048576,,,1236004.0,ns,7
distance,reference,1048576,,,2540707.0,ns,14
distance,reference,1048576,,,3264559.0,ns,21
distance,reference,1048576,,,4239079.0,ns,28
distance,reference,1048576,,,5545952.0,ns,35
distance,reference,1048576,,,7197945.0,ns,42
distance,reference,1048576,,,7774401.0,ns,49
distance,reference,1048576,,,10104650.0,ns,56
distance,reference,1048576,,,10742324.0,ns,63
distance,reference,1048576,,,11368206.0,ns,70
distance,reference,1048576,,,12221080.0,ns,77
distance,reference,1048576,,,12847902.0,ns,84
distance,reference,1048576,,,13413821.0,ns,91
distance,reference,1048576,,,14695480.0,ns,98
distance,reference,1048576,,,15515977.0,ns,105
distance,reference,1048576,,,16155652.0,ns,112
distance,reference,1048576,,,19921401.0,ns,119
distance,reference,1048576,,,26130142.0,ns,126
distance,reference,1048576,,,25578659.0,ns,133
distance,reference,1048576,,,23749575.0,ns,140
distance,reference,1048576,,,26810591.0,ns,147
distance,reference,1048576,,,24981062.0,ns,154
distance,reference,1048576,,,35601987.0,ns,161
distance,reference,1048576,,,44963359.0,ns,168
distance,reference,1048576,,,41388572.0,ns,175
distance,reference,1048576,,,32987011.0,ns,182
distance,reference,1048576,,,35485050.0,ns,189
distance,reference,1048576,,,36786048.0,ns,196
distance,reference,1048576,,,41102730.0,ns,203
distance,reference,1048576,,,34928541.0,ns,210
distance,reference,1048576,,,34985883.0,ns,217
distance,reference,1048576,,,37854746.0,ns,224
distance,reference,1048576,,,39617261.0,ns,231
distance,reference,1048576,,,42701761.0,ns,238
distance,reference,1048576,,,41674506.0,ns,245
distance,reference,1048576,,,42628938.0,ns,252
distance,reference,1048576,,,43998768.0,ns,259
distance,reference,1048576,,,45050723.0,ns,266
distance,reference,1048576,,,44402146.0,ns,273
distance,reference,1048576,,,44856327.0,ns,280
distance,reference,1048576,,,50011056.0,ns,287
distance,reference,1048576,,,46901544.0,ns,294
distance,reference,1048576,,,47839457.0,ns,301
distance,reference,1048576,,,49605044.0,ns,308
distance,reference,1048576,,,50952375.0,ns,315
distance,reference,1048576,,,51590939.0,ns,322
distance,reference,1048576,,,49464424.0,ns,329
distance,reference,1048576,,,49129379.0,ns,336
distance,reference,1048576,,,50001174.0,ns,343
distance,reference,1048576,,,53033708.0,ns,350
distance,reference,1048576,,,63381770.0,ns,357
distance,reference,1048576,,,58177796.0,ns,364
distance,reference,1048576,,,63119299.0,ns,371
distance,reference,1048576,,,65101960.0,ns,378
distance,reference,1048576,,,64807357.0,ns,385
distance,reference,1048576,,,67028983.0,ns,392
distance,reference,1048576,,,69658542.0,ns,399
distance,reference,1048576,,,67536340.0,ns,406
distance,reference,1048576,,,74514040.0,ns,413
distance,reference,1048576,,,70875369.0,ns,420
distance,reference,1048576,,,69121966.0,ns,427
distance,reference,1048576,,,70454935.0,ns,434
distance,reference,1048576,,,73342167.0,ns,441
distance,reference,1048576,,,71957559.0,ns,448
distance,reference,1048576,,,74283993.0,ns,455
distance,reference,1048576,,,75722834.0,ns,462
distance,reference,1048576,,,76510998.0,ns,469
distance,reference,1048576,,,78216339.0,ns,476
distance,reference,1048576,,,78285461.0,ns,483
distance,reference,1048576,,,79740650.0,ns,490
distance,reference,1048576,,,78217660.0,ns,497
distance,reference,1048576,,,81786615.0,ns,504
distance,reference,1048576,,,82156448.0,ns,511
distance,reference,1048576,,,83088524.0,ns,518
distance,reference,1048576,,,83495149.0,ns,525
distance,reference,1048576,,,82444143.0,ns,532
distance,reference,1048576,,,84372196.0,ns,539
distance,reference,1048576,,,89277528.0,ns,546
distance,reference,1048576,,,89887533.0,ns,553
distance,reference,1048576,,,86449548.0,ns,560
distance,reference,1048576,,,96106468.0,ns,567
distance,reference,1048576,,,108527621.0,ns,574
distance,reference,1048576,,,102989249.0,ns,581
distance,reference,1048576,,,128378422.0,ns,588
distance,reference,1048576,,,97775910.0,ns,595
distance,reference,1048576,,,117469157.0,ns,602
distance,reference,1048576,,,105544889.0,ns,609
distance,reference,1048576,,,110526712.0,ns,616
distance,reference,1048576,,,101544234.0,ns,623
distance,reference,1048576,,,102492564.0,ns,630
distance,reference,1048576,,,101869687.0,ns,637
distance,reference,1048576,,,103976340.0,ns,644
distance,reference,1048576,,,107399137.0,ns,651
distance,reference,1048576,,,107123813.0,ns,658
distance,reference,1048576,,,108931456.0,ns,665
distance,reference,1048576,,,98447967.0,ns,672
distance,reference,1048576,,,110767245.0,ns,679
distance,reference,1048576,,,111271674.0,ns,686
distance,reference,1048576,,,106679060.0,ns,693
distance,reference,1048576,,,103610668.0,ns,700
