group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,2048,,,1107444.0,ns,2488
distance,reference,2048,,,2318926.0,ns,4976
distance,reference,2048,,,3061144.0,ns,7464
distance,reference,2048,,,4486065.0,ns,9952
distance,reference,2048,,,5054602.0,ns,12440
distance,reference,2048,,,7071765.0,ns,14928
distance,reference,2048,,,7298618.0,ns,17416
distance,reference,2048,,,8709934.0,ns,19904
distance,reference,2048,,,9197323.0,ns,22392
distance,reference,2048,,,10022208.0,ns,24880
distance,reference,2048,,,10785248.0,ns,27368
distance,reference,2048,,,11851564.0,ns,29856
distance,reference,2048,,,12684471.0,ns,32344
distance,reference,2048,,,13658249.0,ns,34832
distance,reference,2048,,,15929187.0,ns,37320
distance,reference,2048,,,16509381.0,ns,39808
distance,reference,2048,,,17701017.0,ns,42296
distance,reference,2048,,,19345872.0,ns,44784
distance,reference,2048,,,19703707.0,ns,47272
distance,reference,2048,,,21443391.0,ns,49760
distance,reference,2048,,,21970430.0,ns,52248
distance,reference,2048,,,23577332.0,ns,54736
distance,reference,2048,,,24164890.0,ns,57224
distance,reference,2048,,,26065820.0,ns,59712
distance,reference,2048,,,28757240.0,ns,62200
distance,reference,2048,,,28920355.0,ns,64688
distance,reference,2048,,,29764986.0,ns,67176
distance,reference,2048,,,31318809.0,ns,69664
distance,reference,2048,,,31436538.0,ns,72152
distance,reference,2048,,,34058878.0,ns,74640
distance,reference,2048,,,32576777.0,ns,77128
distance,reference,2048,,,33769067.0,ns,79616
distance,reference,2048,,,35464353.0,ns,82104
distance,reference,2048,,,35432836.0,ns,84592
distance,reference,2048,,,36409499.0,ns,87080
distance,reference,2048,,,38069117.0,ns,89568
distance,reference,2048,,,39046273.0,ns,92056
distance,reference,2048,,,40787966.0,ns,94544
distance,reference,2048,,,40762081.0,ns,97032
distance,reference,2048,,,44349705.0,ns,99520
distance,reference,2048,,,46561603.0,ns,102008
distance,reference,2048,,,47882023.0,ns,104496
distance,reference,2048,,,47279426.0,ns,106984
distance,reference,2048,,,46147130.0,ns,109472
distance,reference,2048,,,47620599.0,ns,111960
distance,reference,2048,,,48206353.0,ns,114448
distance,reference,2048,,,49897792.0,ns,116936
distance,reference,2048,,,50452798.0,ns,119424
distance,reference,2048,,,50254835.0,ns,121912
distance,reference,2048,,,48330106.0,ns,124400
distance,reference,2048,,,50075340.0,ns,126888
distance,reference,2048,,,54541539.0,ns,129376
distance,reference,2048,,,53002317.0,ns,131864
distance,reference,2048,,,53544899.0,ns,134352
distance,reference,2048,,,53170146.0,ns,136840
distance,reference,2048,,,54236614.0,ns,139328
distance,reference,2048,,,55724248.0,ns,141816
distance,reference,2048,,,56504485.0,ns,144304
distance,reference,2048,,,56769247.0,ns,146792
distance,reference,2048,,,58440439.0,ns,149280
distance,reference,2048,,,59261632.0,ns,151768
distance,reference,2048,,,59954703.0,ns,154256
distance,reference,2048,,,65765142.0,ns,156744
distance,reference,2048,,,61827572.0,ns,159232
distance,reference,2048,,,62835192.0,ns,161720
distance,reference,2048,,,63572240.0,ns,164208
distance,reference,2048,,,64642798.0,ns,166696
distance,reference,2048,,,71336034.0,ns,169184
distance,reference,2048,,,66969945.0,ns,171672
distance,reference,2048,,,68160536.0,ns,174160
distance,reference,2048,,,69313277.0,ns,176648
distance,reference,2048,,,74199808.0,ns,179136
distance,reference,2048,,,71619755.0,ns,181624
distance,reference,2048,,,71528586.0,ns,184112
distance,reference,2048,,,72377357.0,ns,186600
distance,reference,2048,,,76928713.0,ns,189088
distance,reference,2048,,,74220233.0,ns,191576
distance,reference,2048,,,75355273.0,ns,194064
distance,reference,2048,,,76932459.0,ns,196552
distance,reference,2048,,,82157475.0,ns,199040
distance,reference,2048,,,78974769.0,ns,201528
distance,reference,2048,,,79256503.0,ns,204016
distance,reference,2048,,,83166251.0,ns,206504
distance,reference,2048,,,82679232.0,ns,208992
distance,reference,2048,,,81918418.0,ns,211480
distance,reference,2048,,,84358944.0,ns,213968
distance,reference,2048,,,88396049.0,ns,216456
distance,reference,2048,,,86442004.0,ns,218944
distance,reference,2048,,,86304976.0,ns,221432
distance,reference,2048,,,86778776.0,ns,223920
distance,reference,2048,,,87710369.0,ns,226408
distance,reference,2048,,,88875315.0,ns,228896
distance,reference,2048,,,89718377.0,ns,231384
distance,reference,2048,,,95650684.0,ns,233872
distance,reference,2048,,,93274860.0,ns,236360
distance,reference,2048,,,92703972.0,ns,238848
distance,reference,2048,,,94869011.0,ns,241336
distance,reference,2048,,,94979948.0,ns,243824
distance,reference,2048,,,95915817.0,ns,246312
distance,reference,2048,,,98952718.0,ns,248800
