group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
distance,reference,1024,,,1069700.0,ns,387
distance,reference,1024,,,1979900.0,ns,774
distance,reference,1024,,,3496300.0,ns,1161
distance,reference,1024,,,4003100.0,ns,1548
distance,reference,1024,,,5217100.0,ns,1935
distance,reference,1024,,,5868400.0,ns,2322
distance,reference,1024,,,6852800.0,ns,2709
distance,reference,1024,,,7657200.0,ns,3096
distance,reference,1024,,,8544600.0,ns,3483
distance,reference,1024,,,9611700.0,ns,3870
distance,reference,1024,,,10557500.0,ns,4257
distance,reference,1024,,,11472500.0,ns,4644
distance,reference,1024,,,12405200.0,ns,5031
distance,reference,1024,,,13416400.0,ns,5418
distance,reference,1024,,,14585900.0,ns,5805
distance,reference,1024,,,15786600.0,ns,6192
distance,reference,1024,,,16825500.0,ns,6579
distance,reference,1024,,,17815900.0,ns,6966
distance,reference,1024,,,18791900.0,ns,7353
distance,reference,1024,,,19726100.0,ns,7740
distance,reference,1024,,,20756200.0,ns,8127
distance,reference,1024,,,21930800.0,ns,8514
distance,reference,1024,,,22661100.0,ns,8901
distance,reference,1024,,,23685000.0,ns,9288
distance,reference,1024,,,25112300.0,ns,9675
distance,reference,1024,,,25296200.0,ns,10062
distance,reference,1024,,,26389000.0,ns,10449
distance,reference,1024,,,27929900.0,ns,10836
distance,reference,1024,,,28007100.0,ns,11223
distance,reference,1024,,,28997600.0,ns,11610
distance,reference,1024,,,29659300.0,ns,11997
distance,reference,1024,,,30689200.0,ns,12384
distance,reference,1024,,,31576300.0,ns,12771
distance,reference,1024,,,33641800.0,ns,13158
distance,reference,1024,,,33798000.0,ns,13545
distance,reference,1024,,,34403100.0,ns,13932
distance,reference,1024,,,35434400.0,ns,14319
distance,reference,1024,,,36343400.0,ns,14706
distance,reference,1024,,,37596400.0,ns,15093
distance,reference,1024,,,38254600.0,ns,15480
distance,reference,1024,,,39290700.0,ns,15867
distance,reference,1024,,,40327400.0,ns,16254
distance,reference,1024,,,41207200.0,ns,16641
distance,reference,1024,,,43055100.0,ns,17028
distance,reference,1024,,,43719300.0,ns,17415
distance,reference,1024,,,44858400.0,ns,17802
distance,reference,1024,,,45978900.0,ns,18189
distance,reference,1024,,,52654800.0,ns,18576
distance,reference,1024,,,50752100.0,ns,18963
distance,reference,1024,,,49122300.0,ns,19350
distance,reference,1024,,,50167600.0,ns,19737
distance,reference,1024,,,51167000.0,ns,20124
distance,reference,1024,,,51837100.0,ns,20511
distance,reference,1024,,,53302800.0,ns,20898
distance,reference,1024,,,53943300.0,ns,21285
distance,reference,1024,,,55003000.0,ns,21672
distance,reference,1024,,,55913100.0,ns,22059
distance,reference,1024,,,56962500.0,ns,22446
distance,reference,1024,,,58111100.0,ns,22833
distance,reference,1024,,,58736500.0,ns,23220
distance,reference,1024,,,59787400.0,ns,23607
distance,reference,1024,,,60855800.0,ns,23994
distance,reference,1024,,,61911700.0,ns,24381
distance,reference,1024,,,63704200.0,ns,24768
distance,reference,1024,,,64788800.0,ns,25155
distance,reference,1024,,,64374900.0,ns,25542
distance,reference,1024,,,65177100.0,ns,25929
distance,reference,1024,,,66196100.0,ns,26316
distance,reference,1024,,,66339800.0,ns,26703
distance,reference,1024,,,67742300.0,ns,27090
distance,reference,1024,,,68465800.0,ns,27477
distance,reference,1024,,,69047700.0,ns,27864
distance,reference,1024,,,70342900.0,ns,28251
distance,reference,1024,,,70850000.0,ns,28638
distance,reference,1024,,,75916000.0,ns,29025
distance,reference,1024,,,72713700.0,ns,29412
distance,reference,1024,,,73636000.0,ns,29799
distance,reference,1024,,,74613300.0,ns,30186
distance,reference,1024,,,75815700.0,ns,30573
distance,reference,1024,,,76435900.0,ns,30960
distance,reference,1024,,,77275700.0,ns,31347
distance,reference,1024,,,79775400.0,ns,31734
distance,reference,1024,,,79425800.0,ns,32121
distance,reference,1024,,,80856100.0,ns,32508
distance,reference,1024,,,81802800.0,ns,32895
distance,reference,1024,,,82951900.0,ns,33282
distance,reference,1024,,,83272600.0,ns,33669
distance,reference,1024,,,87933700.0,ns,34056
distance,reference,1024,,,84767300.0,ns,34443
distance,reference,1024,,,86211200.0,ns,34830
distance,reference,1024,,,87986100.0,ns,35217
distance,reference,1024,,,88628400.0,ns,35604
distance,reference,1024,,,88519700.0,ns,35991
distance,reference,1024,,,90358400.0,ns,36378
distance,reference,1024,,,91294500.0,ns,36765
distance,reference,1024,,,91704500.0,ns,37152
distance,reference,1024,,,93249500.0,ns,37539
distance,reference,1024,,,94448000.0,ns,37926
distance,reference,1024,,,94888000.0,ns,38313
distance,reference,1024,,,95828900.0,ns,38700
